model,rank,mean_cv_score,std_cv_score,alpha,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,learning_rate,subsample
Ridge,1,0.01985122810605977,0.013286113306551703,495.353520895918,,,,,,,
Ridge,2,0.019812014190541193,0.012550314694065878,626.0516572014828,,,,,,,
Ridge,3,0.019748970377485443,0.013944929667354857,391.94067748472213,,,,,,,
Ridge,4,0.019587695347618794,0.011743005537451634,791.2342618981327,,,,,,,
Ridge,5,0.01954733793980299,0.014525963564814543,310.11689265747816,,,,,,,
Ridge,6,0.019283065653630027,0.015032142881972676,245.37511066398218,,,,,,,
Ridge,7,0.01913911297096349,0.010874768138032552,1000.0,,,,,,,
Ridge,8,0.018985882827345747,0.015468913562943479,194.14919457438816,,,,,,,
Ridge,9,0.018678459538014235,0.01584303848765134,153.61749466718297,,,,,,,
Ridge,10,0.018377196688373454,0.016161629595965,121.54742500762885,,,,,,,
Ridge,11,0.01809328195737603,0.016431522406547484,96.17248711152963,,,,,,,
Ridge,12,0.01783370950744072,0.016658977563836146,76.09496685459884,,,,,,,
Ridge,13,0.01760217603995653,0.016849612497144097,60.20894493336138,,,,,,,
Ridge,14,0.017399863453447396,0.01700844771387045,47.639380104013405,,,,,,,
Ridge,15,0.01722612991560346,0.017139980640048673,37.69390975388363,,,,,,,
Ridge,16,0.017079111988339578,0.017248243652927604,29.82471286216894,,,,,,,
Ridge,17,0.01695622690312808,0.017336837633978266,23.598334667821938,,,,,,,
Ridge,18,0.016854565444189396,0.01740894965019566,18.671810912919206,,,,,,,
Ridge,19,0.016771176195935333,0.01746736662776832,14.773776525985127,,,,,,,
Ridge,20,0.01670325280428926,0.01751449319588538,11.689518164985776,,,,,,,
Ridge,21,0.01664824266888052,0.01755237682376175,9.249147277217334,,,,,,,
Ridge,22,0.016603897342470385,0.01758273965136648,7.318242219076182,,,,,,,
Ridge,23,0.01656828319827075,0.01760701458449162,5.790443980602489,,,,,,,
Ridge,24,0.016539767418848904,0.017626382849174196,4.581597669054491,,,,,,,
Ridge,25,0.01651699045267836,0.01764181062841766,3.6251170499885355,,,,,,,
Ridge,26,0.01649883257700684,0.017654083122984013,2.868316813342012,,,,,,,
Ridge,27,0.016484379422052074,0.017663835086719055,2.269510536694671,,,,,,,
Ridge,28,0.01647288928291444,0.017671577453304714,1.795714494371641,,,,,,,
Ridge,29,0.016463763664507768,0.017677720065844487,1.4208308325339223,,,,,,,
Ridge,30,0.016456521621416486,0.017682590763077398,1.1242100350620874,,,,,,,
Ridge,31,0.01645077792632601,0.017686451202643245,0.8895134973108236,,,,,,,
Ridge,32,0.016446224811507905,0.01768950984906039,0.7038135554931562,,,,,,,
Ridge,33,0.01644261689155293,0.017691932551592043,0.5568813990945273,,,,,,,
Ridge,34,0.016439758831891194,0.017693851106663865,0.44062364277735727,,,,,,,
Ridge,35,0.016437495336568353,0.017695370155589786,0.34863652276780877,,,,,,,
Ridge,36,0.016435703064717554,0.01769657272025938,0.2758531617629184,,,,,,,
