model,rank,mean_cv_score,std_cv_score,C,penalty,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,learning_rate,subsample
LogisticRegression,1,0.6141906283280085,0.011251140626738309,0.019069601332062702,l1,,,,,,,
LogisticRegression,1,0.6141906283280085,0.011251140626738309,0.017638479543546873,l1,,,,,,,
LogisticRegression,1,0.6141906283280085,0.011251140626738309,0.016619869571874963,l1,,,,,,,
LogisticRegression,4,0.6135434586712541,0.022351143706866132,0.5813871723938724,l1,,,,,,,
LogisticRegression,5,0.6129044810354716,0.027914422951235696,2.5323705703376085,l1,,,,,,,
LogisticRegression,5,0.6129044810354716,0.027914422951235696,2.2944454507602003,l1,,,,,,,
LogisticRegression,5,0.6129044810354716,0.026718686750205216,0.28006820077310235,l2,,,,,,,
LogisticRegression,5,0.6129044810354716,0.027914422951235696,2.2111606565860846,l1,,,,,,,
LogisticRegression,5,0.6129044810354716,0.026718686750205216,0.2669312199932473,l2,,,,,,,
LogisticRegression,10,0.6129044810354715,0.022931724589044997,0.608143840335186,l1,,,,,,,
LogisticRegression,10,0.6129044810354715,0.022931724589044997,0.6403036652671171,l1,,,,,,,
LogisticRegression,10,0.6129044810354715,0.022931724589044997,0.6400547563489187,l1,,,,,,,
LogisticRegression,13,0.6122655033996888,0.02741552073208307,1.1435780278433403,l1,,,,,,,
LogisticRegression,14,0.6122655033996887,0.028653455083924247,2.077346035713884,l1,,,,,,,
LogisticRegression,14,0.6122655033996887,0.027040638972845126,3.0031735625850406,l1,,,,,,,
LogisticRegression,16,0.6122634553944459,0.02676679578223634,0.17885301261862016,l2,,,,,,,
LogisticRegression,17,0.6122634553944458,0.022634379755864523,0.5002711478256536,l1,,,,,,,
LogisticRegression,18,0.612261407389203,0.024737187204591286,0.0754944044042274,l2,,,,,,,
LogisticRegression,19,0.61225935938396,0.027429858962559714,0.06797417150006559,l2,,,,,,,
LogisticRegression,20,0.611626525763906,0.028153146746308935,1.7316120634454757,l1,,,,,,,
LogisticRegression,20,0.611626525763906,0.027788217840798636,24.361092841799916,l1,,,,,,,
LogisticRegression,20,0.611626525763906,0.0265099102135879,0.3475312670241052,l2,,,,,,,
LogisticRegression,20,0.611626525763906,0.0265099102135879,0.32613327839065587,l2,,,,,,,
LogisticRegression,20,0.611626525763906,0.027788217840798636,15.436560150278346,l1,,,,,,,
LogisticRegression,20,0.611626525763906,0.028153146746308935,1.5409457762881555,l1,,,,,,,
LogisticRegression,20,0.611626525763906,0.027788217840798636,17.561803816666714,l1,,,,,,,
LogisticRegression,20,0.611626525763906,0.027788217840798636,3.642109088285166,l1,,,,,,,
LogisticRegression,20,0.611626525763906,0.027788217840798636,12.304779330083704,l1,,,,,,,
LogisticRegression,20,0.611626525763906,0.028153146746308935,1.4711215379121974,l1,,,,,,,
LogisticRegression,20,0.611626525763906,0.0265099102135879,1.084354380985256,l1,,,,,,,
LogisticRegression,20,0.611626525763906,0.0265099102135879,0.37253938395788866,l2,,,,,,,
LogisticRegression,20,0.611626525763906,0.0265099102135879,1.0907475835157696,l1,,,,,,,
LogisticRegression,20,0.611626525763906,0.027788217840798636,27.107267702922165,l1,,,,,,,
LogisticRegression,20,0.611626525763906,0.0265099102135879,0.3133046924111914,l2,,,,,,,
LogisticRegression,20,0.611626525763906,0.0265099102135879,0.325975879331736,l2,,,,,,,
LogisticRegression,20,0.611626525763906,0.027788217840798636,18.409723989839065,l1,,,,,,,
LogisticRegression,20,0.611626525763906,0.027788217840798636,17.512533320961847,l1,,,,,,,
LogisticRegression,20,0.611626525763906,0.027788217840798636,11.137963167994647,l1,,,,,,,
LogisticRegression,20,0.611626525763906,0.027788217840798636,24.37055163238541,l1,,,,,,,
LogisticRegression,20,0.611626525763906,0.027788217840798636,16.63664324117345,l1,,,,,,,
LogisticRegression,20,0.611626525763906,0.0265099102135879,1.0768254179081211,l1,,,,,,,
LogisticRegression,20,0.611626525763906,0.027788217840798636,17.624510039685536,l1,,,,,,,
LogisticRegression,20,0.611626525763906,0.027788217840798636,4.41606889511859,l1,,,,,,,
LogisticRegression,20,0.611626525763906,0.027788217840798636,12.193011993958969,l1,,,,,,,
LogisticRegression,20,0.611626525763906,0.027788217840798636,9.805638874011498,l1,,,,,,,
LogisticRegression,46,0.611624477758663,0.025838407491756615,0.13359166801651828,l2,,,,,,,
LogisticRegression,46,0.611624477758663,0.02744749004383593,0.19334182249909163,l2,,,,,,,
LogisticRegression,46,0.611624477758663,0.025838407491756615,0.9846738873614566,l1,,,,,,,
LogisticRegression,46,0.611624477758663,0.025838407491756615,0.9870231353474848,l1,,,,,,,
LogisticRegression,46,0.611624477758663,0.02744749004383593,0.19172239802201455,l2,,,,,,,
LogisticRegression,46,0.611624477758663,0.02744749004383593,0.22464831849863526,l2,,,,,,,
LogisticRegression,46,0.611624477758663,0.024707536563684237,0.0942773986792575,l2,,,,,,,
LogisticRegression,46,0.611624477758663,0.024707536563684237,0.09022004468565618,l2,,,,,,,
LogisticRegression,46,0.611624477758663,0.024707536563684237,0.0945695189734589,l2,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,1.0710256549997939,l2,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,1.323641090303255,l2,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,11.155915875984507,l2,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,4.376044634724401,l2,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,15.01455544253768,l2,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,12.082571285529134,l2,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,10.89433625813222,l2,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,0.6173195203695122,l2,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,30.117434768033753,l1,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,26.08562787757692,l2,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,50.42156513154771,l2,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,67.15784571880683,l1,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,1.6821470258034157,l2,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,8.44701480894304,l2,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,17.11219463152207,l2,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,28.855777187934113,l1,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,78.42676320619432,l1,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,1.5193684044578604,l2,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,18.017036467538937,l2,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,50.38403230651898,l1,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,0.7084445284509013,l2,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,89.1803660289781,l2,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,0.7268793746774284,l2,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,58.25849149538056,l1,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,1.4689898077648815,l2,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,34.77998816092338,l1,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,0.9761125443110458,l2,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,7.510418138777549,l2,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,85.98737339212276,l2,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,63.95288218539363,l1,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,0.5414413211338525,l2,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,0.4994139416350945,l2,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,1.3076473382928542,l2,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,14.528246637516036,l2,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,1.2357483710912178,l2,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,55.51721685244721,l2,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,13.783040076490773,l2,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,20.045786085337323,l1,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,27.254117335304073,l2,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,36.830088529547496,l2,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,0.580898004431162,l2,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,9.527157550070955,l2,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,31.77534582118829,l1,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,27.469483513225182,l2,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,0.5542030950268272,l2,,,,,,,
LogisticRegression,55,0.6109875481281233,0.027257066045382798,73.92266140516048,l1,,,,,,,
